name,url,rating,type,grade,pitches,length,latitude,longitude,votes,state,gorge,area,crag,subcrag,yds,protection
Where have All the Gay Cowboys Gone?,https://www.mountainproject.com/route/112319177/where-have-all-the-gay-cowboys-gone,2.0,Trad,5.9,1,60.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Whinerlamer,https://www.mountainproject.com/route/107094737/whinerlamer,2.4,Sport,5.9,1,40.0,38.2338,-80.8552,37,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Gimme a Clown,https://www.mountainproject.com/route/106736089/gimme-a-clown,2.8,Sport,5.9,1,70.0,38.2338,-80.8552,88,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Unknown,https://www.mountainproject.com/route/116252140/unknown,3.0,Trad,5.9,1,70.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Flight of the Kiwi,https://www.mountainproject.com/route/112319223/flight-of-the-kiwi,2.0,Trad,5.9,1,50.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
"Ching, Chang, Chong",https://www.mountainproject.com/route/108381188/ching-chang-chong,2.1,Sport,5.9+,1,40.0,38.2338,-80.8552,36,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,9.0,
Jowiki,https://www.mountainproject.com/route/107094784/jowiki,2.2,Sport,5.10a,1,30.0,38.2338,-80.8552,27,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Charlotte Corner,https://www.mountainproject.com/route/108404483/charlotte-corner,3.0,Trad,5.10a,1,,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Crescent Corner,https://www.mountainproject.com/route/108404492/crescent-corner,2.8,Trad,5.10a,1,,38.2338,-80.8552,6,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Johnny Bravo,https://www.mountainproject.com/route/108468844/johnny-bravo,3.3,Trad,5.10a,1,50.0,38.2338,-80.8552,10,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
After Forever,https://www.mountainproject.com/route/113747879/after-forever,1.9,Sport,5.10a,1,45.0,38.2338,-80.8552,9,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Unholy Mackerel,https://www.mountainproject.com/route/107865528/unholy-mackerel,2.3,Trad,5.10a R,1,50.0,38.2338,-80.8552,3,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,R
Mythos,https://www.mountainproject.com/route/112778174/mythos,2.0,Trad,5.10-,1,45.0,38.2338,-80.8552,2,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Latch Key Kids,https://www.mountainproject.com/route/107540073/latch-key-kids,3.3,Sport,5.10a/b,1,70.0,38.2338,-80.8552,81,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Cowboy Love,https://www.mountainproject.com/route/112319293/cowboy-love,2.0,Trad,5.10b,1,70.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Blimey,https://www.mountainproject.com/route/109829479/blimey,2.3,Sport,5.10b,1,60.0,38.2338,-80.8552,6,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Six Gun Serenade,https://www.mountainproject.com/route/112319230/six-gun-serenade,2.0,Trad,5.10c,1,70.0,38.2338,-80.8552,2,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Back to the Known,https://www.mountainproject.com/route/107899980/back-to-the-known,2.0,Sport,5.10+,1,90.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Hat Change,https://www.mountainproject.com/route/106386798/hat-change,2.2,Sport,5.10d,1,60.0,38.2338,-80.8552,19,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,10.0,
Masuko,https://www.mountainproject.com/route/106736128/masuko,3.8,Sport,5.11a,1,70.0,38.2338,-80.8552,112,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Nonameyet,https://www.mountainproject.com/route/106946198/nonameyet,2.6,Sport,5.11a,1,60.0,38.2338,-80.8552,39,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Flounder,https://www.mountainproject.com/route/107829690/flounder,3.0,Sport,5.11a,1,50.0,38.2338,-80.8552,30,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
How Could Hell Be Any Worse?,https://www.mountainproject.com/route/108836852/how-could-hell-be-any-worse,3.0,Sport,5.11a,1,90.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Pat-Agonia,https://www.mountainproject.com/route/107094656/pat-agonia,2.3,Sport,5.11b,1,40.0,38.2338,-80.8552,9,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Blaze Got a New Job,https://www.mountainproject.com/route/106736061/blaze-got-a-new-job,2.7,Sport,5.11b,1,40.0,38.2338,-80.8552,10,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Pondless,https://www.mountainproject.com/route/109829604/pondless,3.0,Sport,5.11b,1,60.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Fishbone,https://www.mountainproject.com/route/113813969/fishbone,2.0,Sport,5.11c,1,70.0,38.2338,-80.8552,1,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Don Miron,https://www.mountainproject.com/route/107377472/don-miron,2.6,Sport,5.11d,1,70.0,38.2338,-80.8552,13,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Bender,https://www.mountainproject.com/route/106946283/bender,2.9,Sport,5.11d,1,70.0,38.2338,-80.8552,18,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Tacos Pescados,https://www.mountainproject.com/route/107895289/tacos-pescados,3.0,Sport,5.11d,1,60.0,38.2338,-80.8552,7,West Virginia,The New River Gorge,Summersville and Gauley River,Whippoorwill,,11.0,
Zinger,https://www.mountainproject.com/route/108683945/zinger,2.0,Trad,5.6,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,6.0,
Star Crunch,https://www.mountainproject.com/route/116139702/star-crunch,1.0,Trad,5.7,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,7.0,
Route with a Ranger,https://www.mountainproject.com/route/112422966/route-with-a-ranger,2.0,Trad,5.8 PG13,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,8.0,PG13
Mononucleosis,https://www.mountainproject.com/route/108735299/mononucleosis,3.0,Trad,5.8,1,80.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,8.0,
Slingin' Yayo,https://www.mountainproject.com/route/108765851/slingin-yayo,1.5,Trad,5.8,1,80.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,8.0,
Swiss Roll,https://www.mountainproject.com/route/116139718/swiss-roll,1.0,Trad,5.8,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,8.0,
Wendigo,https://www.mountainproject.com/route/108765734/wendigo,3.0,Trad,5.9,1,80.0,38.22643,-80.85637,3,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,9.0,
Flake and Bake,https://www.mountainproject.com/route/108703954/flake-and-bake,3.0,Trad,5.9,1,70.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,9.0,
Hog Slaughter,https://www.mountainproject.com/route/116720891/hog-slaughter,3.0,Sport,5.9,1,80.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,9.0,
204,https://www.mountainproject.com/route/108295188/204,3.5,Sport,5.10a,1,65.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
665,https://www.mountainproject.com/route/108295007/665,3.0,Sport,5.10a,1,65.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Crackatoa,https://www.mountainproject.com/route/114139999/crackatoa,2.0,Trad,5.10a,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Blood Flower,https://www.mountainproject.com/route/108703944/blood-flower,2.5,Sport,5.10a,1,45.0,38.22643,-80.85637,6,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Honey Badger,https://www.mountainproject.com/route/116720902/honey-badger,3.0,Sport,5.10b,1,80.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Unknown,https://www.mountainproject.com/route/116620539/unknown,2.0,Sport,5.10b,1,50.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Hillbilly Sex Farm,https://www.mountainproject.com/route/106737560/hillbilly-sex-farm,2.0,Sport,5.10d,1,60.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,10.0,
Billy Bass Crack,https://www.mountainproject.com/route/116720910/billy-bass-crack,3.0,Trad,5.11a,1,80.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Honemeisters,https://www.mountainproject.com/route/108703970/honemeisters,2.0,Trad,5.11a,1,60.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Opium of the People,https://www.mountainproject.com/route/108745452/opium-of-the-people,2.5,Sport,5.11a,1,50.0,38.22643,-80.85637,6,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Big Bang,https://www.mountainproject.com/route/106737532/big-bang,3.3,Trad,5.11b,1,70.0,38.22643,-80.85637,3,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Serial Driller,https://www.mountainproject.com/route/108683933/serial-driller,2.5,Sport,5.11b,1,50.0,38.22643,-80.85637,2,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Hell Hound,https://www.mountainproject.com/route/108686075/hell-hound,2.7,Sport,5.11b PG13,1,50.0,38.22643,-80.85637,3,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,PG13
Sun Glory,https://www.mountainproject.com/route/108703959/sun-glory,2.3,Sport,5.11b/c,1,60.0,38.22643,-80.85637,3,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Holy Grail,https://www.mountainproject.com/route/108683788/holy-grail,3.3,Sport,5.11c,1,70.0,38.22643,-80.85637,4,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Rock Opera,https://www.mountainproject.com/route/108745536/rock-opera,3.0,Sport,5.11c PG13,1,50.0,38.22643,-80.85637,1,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,PG13
Porter for Recorder,https://www.mountainproject.com/route/108678086/porter-for-recorder,3.7,Sport,5.11+,1,80.0,38.22643,-80.85637,7,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Liturgy,https://www.mountainproject.com/route/108686313/liturgy,2.6,Sport,5.11d,1,60.0,38.22643,-80.85637,7,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Scientific Paws,https://www.mountainproject.com/route/108730622/scientific-paws,2.8,Sport,5.11d,1,60.0,38.22643,-80.85637,5,West Virginia,The New River Gorge,Summersville and Gauley River,Long Point,,11.0,
Unnamed Crack 5.6,https://www.mountainproject.com/route/107253630/unnamed-crack-56,2.0,Trad,5.6,1,70.0,38.2422,-80.83949,42,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,6.0,
Hippie Dreams,https://www.mountainproject.com/route/105992273/hippie-dreams,2.9,Sport,5.7,1,75.0,38.2422,-80.83949,373,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,7.0,
Souled Out,https://www.mountainproject.com/route/106139159/souled-out,2.5,Sport,5.9,1,70.0,38.2422,-80.83949,97,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
Just Say No,https://www.mountainproject.com/route/107709746/just-say-no,2.4,Trad,5.9,1,65.0,38.2422,-80.83949,9,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
The Hell With That,https://www.mountainproject.com/route/106942184/the-hell-with-that,2.8,Trad,5.9,1,,38.2422,-80.83949,69,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
Fabulous Groupies,https://www.mountainproject.com/route/106139147/fabulous-groupies,2.4,Sport,5.9+,1,60.0,38.2422,-80.83949,148,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
Unnamed Crack,https://www.mountainproject.com/route/107219249/unnamed-crack,3.3,Trad,5.9+,1,60.0,38.2422,-80.83949,27,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
Chunko Goes Bowling,https://www.mountainproject.com/route/106002544/chunko-goes-bowling,2.5,Sport,5.9+,1,80.0,38.2422,-80.83949,201,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,9.0,
Orange Oswald,https://www.mountainproject.com/route/105918472/orange-oswald,2.9,Sport,5.10a,1,70.0,38.2422,-80.83949,307,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
"She got the Bosch, I got Drilled",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.1,Sport,5.10a,1,90.0,38.2422,-80.83949,245,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
The Hunger Artist,https://www.mountainproject.com/route/106449486/the-hunger-artist,2.0,Trad,5.10- PG13,1,,38.2422,-80.83949,1,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,PG13
Orange Express,https://www.mountainproject.com/route/107260051/orange-express,2.5,Sport,5.10a/b,1,75.0,38.2422,-80.83949,53,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Strong Arming the Little Guy,https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.9,Sport,5.10b,1,70.0,38.2422,-80.83949,165,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Scoot Your Muffin,https://www.mountainproject.com/route/106493778/scoot-your-muffin,2.5,Sport,5.10b,1,80.0,38.2422,-80.83949,32,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Voodoo Surfing,https://www.mountainproject.com/route/106891706/voodoo-surfing,2.6,Sport,5.10b/c,1,80.0,38.2422,-80.83949,71,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Baby With A Nail Gun,https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,3.2,Sport,5.10c,1,80.0,38.2422,-80.83949,131,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Moon Pie Deluxe,https://www.mountainproject.com/route/105997974/moon-pie-deluxe,2.1,Sport,5.10d,1,80.0,38.2422,-80.83949,49,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,10.0,
Barfing Butterflies,https://www.mountainproject.com/route/105997978/barfing-butterflies,3.1,Sport,5.11b,1,85.0,38.2422,-80.83949,75,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,11.0,
Snub Nose,https://www.mountainproject.com/route/110919548/snub-nose,1.5,Sport,5.11,1,30.0,38.2422,-80.83949,2,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Orange Oswald Wall,11.0,
Project,https://www.mountainproject.com/route/112173692/project,2.0,Sport,3rd,1,70.0,38.24193,-80.84066999999997,1,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,,
That Eight,https://www.mountainproject.com/route/105992317/that-eight,2.3,Sport,5.8-,1,70.0,38.24193,-80.84066999999997,147,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,8.0,
Sniff the Drill,https://www.mountainproject.com/route/106139168/sniff-the-drill,2.3,Sport,5.8,1,45.0,38.24193,-80.84066999999997,127,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,8.0,
Jeff's Bunny Hop,https://www.mountainproject.com/route/106139191/jeffs-bunny-hop,2.4,Sport,5.8,1,60.0,38.24193,-80.84066999999997,134,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,8.0,
Hang On Little Tomato,https://www.mountainproject.com/route/109588071/hang-on-little-tomato,2.0,Trad,5.8,1,70.0,38.24193,-80.84066999999997,1,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,8.0,
Camiara,https://www.mountainproject.com/route/115171615/camiara,2.5,Sport,5.9+,1,45.0,38.24193,-80.84066999999997,8,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,9.0,
Locumba,https://www.mountainproject.com/route/113005752/locumba,2.3,Sport,5.10a,1,45.0,38.24193,-80.84066999999997,12,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,10.0,
Smilin' Jack,https://www.mountainproject.com/route/106519009/smilin-jack,2.6,Sport,5.11c,1,80.0,38.24193,-80.84066999999997,16,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,11.0,
Simple Minds,https://www.mountainproject.com/route/108836822/simple-minds,2.0,Sport,5.11d,1,40.0,38.24193,-80.84066999999997,8,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Narcissus Cave,11.0,
Unknown,https://www.mountainproject.com/route/106386724/unknown,1.5,Trad,5.9,1,50.0,38.2427,-80.8485,2,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,9.0,
Unnamed SL  7,https://www.mountainproject.com/route/106386687/unnamed-sl-7,3.0,Trad,5.10a,1,60.0,38.2427,-80.8485,4,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,10.0,
"The Good, the Bad, and The Boltless (High Plains Drifter variation)",https://www.mountainproject.com/route/107522463/the-good-the-bad-and-the-boltless-high-plains-drifter-variation,2.5,Trad,5.10a/b,1,75.0,38.2427,-80.8485,2,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,10.0,
Unnamed 5.10a,https://www.mountainproject.com/route/108034563/unnamed-510a,3.0,Trad,5.10,1,90.0,38.2427,-80.8485,2,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,10.0,
Indian Summer,https://www.mountainproject.com/route/106386696/indian-summer,3.6,Trad,5.10c,1,50.0,38.2427,-80.8485,12,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,10.0,
As Surely as the Flower Blooms,https://www.mountainproject.com/route/109437933/as-surely-as-the-flower-blooms,2.0,Trad,5.11a R,1,45.0,38.2427,-80.8485,1,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,11.0,R
Mutiny,https://www.mountainproject.com/route/105918475/mutiny,3.7,Sport,5.11c,1,75.0,38.2427,-80.8485,43,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),Pirate's Cove,11.0,
Lickty Split,https://www.mountainproject.com/route/106386738/lickty-split,2.6,Sport,5.9,1,80.0,38.24161,-80.8422,60,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,9.0,
Bad Hair Day,https://www.mountainproject.com/route/107792700/bad-hair-day,1.3,Trad,5.9,1,60.0,38.24161,-80.8422,3,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,9.0,
T. Love,https://www.mountainproject.com/route/113456186/t-love,2.0,Sport,5.10a,1,40.0,38.24161,-80.8422,3,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Make Way For Dyklings,https://www.mountainproject.com/route/106386748/make-way-for-dyklings,2.3,Sport,5.10a,1,80.0,38.24161,-80.8422,45,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Two Finger Limit,https://www.mountainproject.com/route/106386768/two-finger-limit,1.8,Sport,5.10a,1,80.0,38.24161,-80.8422,10,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Hundra Scundra,https://www.mountainproject.com/route/107791064/hundra-scundra,1.5,Trad,5.10b,1,60.0,38.24161,-80.8422,2,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Useless Beauty,https://www.mountainproject.com/route/107298505/useless-beauty,2.7,Sport,5.10,1,60.0,38.24161,-80.8422,19,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Tequila Maria,https://www.mountainproject.com/route/106386782/tequila-maria,2.6,Sport,5.10c,1,80.0,38.24161,-80.8422,14,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
No Refund,https://www.mountainproject.com/route/107792710/no-refund,2.1,Sport,5.10d,1,60.0,38.24161,-80.8422,7,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,10.0,
Satisfaction Guaranteed,https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,Sport,5.11-,1,65.0,38.24161,-80.8422,251,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Satisfaction Wall,11.0,
On Top of the Milky Whale,https://www.mountainproject.com/route/114375298/on-top-of-the-milky-whale,2.5,Sport,5.3,1,40.0,38.24137,-80.84379,6,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,3.0,
Ragged Reaction,https://www.mountainproject.com/route/107202336/ragged-reaction,2.4,Sport,5.9,1,30.0,38.24137,-80.84379,37,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,9.0,
On the Porch,https://www.mountainproject.com/route/107829742/on-the-porch,1.7,Sport,5.9,1,35.0,38.24137,-80.84379,19,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,9.0,
Menace Alert,https://www.mountainproject.com/route/105993751/menace-alert,2.8,Sport,5.9+,1,50.0,38.24137,-80.84379,167,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,9.0,
Rocky Top Hilton,https://www.mountainproject.com/route/107792673/rocky-top-hilton,1.8,Sport,5.10a,1,20.0,38.24137,-80.84379,8,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,10.0,
Chewy,https://www.mountainproject.com/route/105993756/chewy,2.7,Sport,5.10b,1,40.0,38.24137,-80.84379,138,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,10.0,
Flight Path,https://www.mountainproject.com/route/107094773/flight-path,3.0,Sport,5.10b,1,40.0,38.24137,-80.84379,96,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,10.0,
Going Ballistic,https://www.mountainproject.com/route/106603133/going-ballistic,2.9,Sport,5.10d,1,50.0,38.24137,-80.84379,83,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,10.0,
Minimum Overdrive,https://www.mountainproject.com/route/107181873/minimum-overdrive,1.9,Sport,5.11a,1,60.0,38.24137,-80.84379,17,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,11.0,
"No Way, Jose'",https://www.mountainproject.com/route/106271005/no-way-jose,2.8,Sport,5.11b,1,50.0,38.24137,-80.84379,21,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,11.0,
Fifty Fifty,https://www.mountainproject.com/route/106919137/fifty-fifty,1.6,Sport,5.11b,1,60.0,38.24137,-80.84379,11,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,11.0,
Spice,https://www.mountainproject.com/route/106461151/spice,2.2,Sport,5.11b/c,1,60.0,38.24137,-80.84379,18,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,11.0,
Maximum Overdrive,https://www.mountainproject.com/route/105994645/maximum-overdrive,3.4,Sport,5.11c,1,70.0,38.24137,-80.84379,66,West Virginia,The New River Gorge,Summersville and Gauley River,Summersville Lake (main),The Long Wall,11.0,
