Route,Location,URL,Avg Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes
Cowboy Love,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112319293/cowboy-love,2.0,Trad,5.10b,1,70.0,38.2338,-80.8552,1
Blimey,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/109829479/blimey,2.3,Sport,5.10b,1,60.0,38.2338,-80.8552,6
Six Gun Serenade,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112319230/six-gun-serenade,2.0,Trad,5.10c,1,70.0,38.2338,-80.8552,2
Back to the Known,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107899980/back-to-the-known,2.0,Sport,5.10+,1,90.0,38.2338,-80.8552,1
Hat Change,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386798/hat-change,2.2,Sport,5.10d,1,60.0,38.2338,-80.8552,19
Masuko,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106736128/masuko,3.8,Sport,5.11a,1,70.0,38.2338,-80.8552,112
Nonameyet,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106946198/nonameyet,2.6,Sport,5.11a,1,60.0,38.2338,-80.8552,39
Flounder,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107829690/flounder,3.0,Sport,5.11a,1,50.0,38.2338,-80.8552,30
How Could Hell Be Any Worse?,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108836852/how-could-hell-be-any-worse,3.0,Sport,5.11a,1,90.0,38.2338,-80.8552,1
Pat-Agonia,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107094656/pat-agonia,2.3,Sport,5.11b,1,40.0,38.2338,-80.8552,9
Blaze Got a New Job,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106736061/blaze-got-a-new-job,2.7,Sport,5.11b,1,40.0,38.2338,-80.8552,10
Pondless,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/109829604/pondless,3.0,Sport,5.11b,1,60.0,38.2338,-80.8552,1
Fishbone,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113813969/fishbone,2.0,Sport,5.11c,1,70.0,38.2338,-80.8552,1
Don Miron,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107377472/don-miron,2.6,Sport,5.11d,1,70.0,38.2338,-80.8552,13
Bender,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106946283/bender,2.9,Sport,5.11d,1,70.0,38.2338,-80.8552,18
Tacos Pescados,Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107895289/tacos-pescados,3.0,Sport,5.11d,1,60.0,38.2338,-80.8552,7
Zinger,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108683945/zinger,2.0,Trad,5.6,1,50.0,38.22643,-80.85637,1
Star Crunch,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116139702/star-crunch,1.0,Trad,5.7,1,50.0,38.22643,-80.85637,1
Route with a Ranger,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112422966/route-with-a-ranger,2.0,Trad,5.8 PG13,1,50.0,38.22643,-80.85637,1
Mononucleosis,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108735299/mononucleosis,3.0,Trad,5.8,1,80.0,38.22643,-80.85637,2
Slingin' Yayo,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108765851/slingin-yayo,1.5,Trad,5.8,1,80.0,38.22643,-80.85637,2
Swiss Roll,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116139718/swiss-roll,1.0,Trad,5.8,1,50.0,38.22643,-80.85637,1
Wendigo,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108765734/wendigo,3.0,Trad,5.9,1,80.0,38.22643,-80.85637,3
Flake and Bake,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108703954/flake-and-bake,3.0,Trad,5.9,1,70.0,38.22643,-80.85637,2
Hog Slaughter,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116720891/hog-slaughter,3.0,Sport,5.9,1,80.0,38.22643,-80.85637,1
204,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108295188/204,3.5,Sport,5.10a,1,65.0,38.22643,-80.85637,2
665,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108295007/665,3.0,Sport,5.10a,1,65.0,38.22643,-80.85637,1
Crackatoa,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/114139999/crackatoa,2.0,Trad,5.10a,1,50.0,38.22643,-80.85637,1
Blood Flower,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108703944/blood-flower,2.5,Sport,5.10a,1,45.0,38.22643,-80.85637,6
Honey Badger,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116720902/honey-badger,3.0,Sport,5.10b,1,80.0,38.22643,-80.85637,1
Unknown,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116620539/unknown,2.0,Sport,5.10b,1,50.0,38.22643,-80.85637,2
Hillbilly Sex Farm,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106737560/hillbilly-sex-farm,2.0,Sport,5.10d,1,60.0,38.22643,-80.85637,1
Billy Bass Crack,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/116720910/billy-bass-crack,3.0,Trad,5.11a,1,80.0,38.22643,-80.85637,1
Honemeisters,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108703970/honemeisters,2.0,Trad,5.11a,1,60.0,38.22643,-80.85637,1
Opium of the People,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108745452/opium-of-the-people,2.5,Sport,5.11a,1,50.0,38.22643,-80.85637,6
Big Bang,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106737532/big-bang,3.3,Trad,5.11b,1,70.0,38.22643,-80.85637,3
Serial Driller,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108683933/serial-driller,2.5,Sport,5.11b,1,50.0,38.22643,-80.85637,2
Hell Hound,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108686075/hell-hound,2.7,Sport,5.11b PG13,1,50.0,38.22643,-80.85637,3
Sun Glory,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108703959/sun-glory,2.3,Sport,5.11b/c,1,60.0,38.22643,-80.85637,3
Holy Grail,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108683788/holy-grail,3.3,Sport,5.11c,1,70.0,38.22643,-80.85637,4
Rock Opera,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108745536/rock-opera,3.0,Sport,5.11c PG13,1,50.0,38.22643,-80.85637,1
Porter for Recorder,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108678086/porter-for-recorder,3.7,Sport,5.11+,1,80.0,38.22643,-80.85637,7
Liturgy,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108686313/liturgy,2.6,Sport,5.11d,1,60.0,38.22643,-80.85637,7
Scientific Paws,Long Point > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108730622/scientific-paws,2.8,Sport,5.11d,1,60.0,38.22643,-80.85637,5
Unnamed Crack 5.6,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107253630/unnamed-crack-56,2.0,Trad,5.6,1,70.0,38.2422,-80.83949,42
Hippie Dreams,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105992273/hippie-dreams,2.9,Sport,5.7,1,75.0,38.2422,-80.83949,373
Souled Out,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106139159/souled-out,2.5,Sport,5.9,1,70.0,38.2422,-80.83949,97
Just Say No,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107709746/just-say-no,2.4,Trad,5.9,1,65.0,38.2422,-80.83949,9
The Hell With That,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106942184/the-hell-with-that,2.8,Trad,5.9,1,,38.2422,-80.83949,69
Fabulous Groupies,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106139147/fabulous-groupies,2.4,Sport,5.9+,1,60.0,38.2422,-80.83949,148
Unnamed Crack,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107219249/unnamed-crack,3.3,Trad,5.9+,1,60.0,38.2422,-80.83949,27
Chunko Goes Bowling,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106002544/chunko-goes-bowling,2.5,Sport,5.9+,1,80.0,38.2422,-80.83949,201
Orange Oswald,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105918472/orange-oswald,2.9,Sport,5.10a,1,70.0,38.2422,-80.83949,307
"She got the Bosch, I got Drilled",Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.1,Sport,5.10a,1,90.0,38.2422,-80.83949,245
The Hunger Artist,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106449486/the-hunger-artist,2.0,Trad,5.10- PG13,1,,38.2422,-80.83949,1
Orange Express,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107260051/orange-express,2.5,Sport,5.10a/b,1,75.0,38.2422,-80.83949,53
Strong Arming the Little Guy,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.9,Sport,5.10b,1,70.0,38.2422,-80.83949,165
Scoot Your Muffin,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106493778/scoot-your-muffin,2.5,Sport,5.10b,1,80.0,38.2422,-80.83949,32
Voodoo Surfing,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106891706/voodoo-surfing,2.6,Sport,5.10b/c,1,80.0,38.2422,-80.83949,71
Baby With A Nail Gun,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,3.2,Sport,5.10c,1,80.0,38.2422,-80.83949,131
Moon Pie Deluxe,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105997974/moon-pie-deluxe,2.1,Sport,5.10d,1,80.0,38.2422,-80.83949,49
Barfing Butterflies,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105997978/barfing-butterflies,3.1,Sport,5.11b,1,85.0,38.2422,-80.83949,75
Snub Nose,Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/110919548/snub-nose,1.5,Sport,5.11,1,30.0,38.2422,-80.83949,2
Project,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112173692/project,2.0,Sport,3rd,1,70.0,38.241929999999996,-80.84066999999999,1
That Eight,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105992317/that-eight,2.3,Sport,5.8-,1,70.0,38.241929999999996,-80.84066999999999,147
Sniff the Drill,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106139168/sniff-the-drill,2.3,Sport,5.8,1,45.0,38.241929999999996,-80.84066999999999,127
Jeff's Bunny Hop,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106139191/jeffs-bunny-hop,2.4,Sport,5.8,1,60.0,38.241929999999996,-80.84066999999999,134
Hang On Little Tomato,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/109588071/hang-on-little-tomato,2.0,Trad,5.8,1,70.0,38.241929999999996,-80.84066999999999,1
Camiara,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/115171615/camiara,2.5,Sport,5.9+,1,45.0,38.241929999999996,-80.84066999999999,8
Locumba,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113005752/locumba,2.3,Sport,5.10a,1,45.0,38.241929999999996,-80.84066999999999,12
Smilin' Jack,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106519009/smilin-jack,2.6,Sport,5.11c,1,80.0,38.241929999999996,-80.84066999999999,16
Simple Minds,Narcissus Cave > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108836822/simple-minds,2.0,Sport,5.11d,1,40.0,38.241929999999996,-80.84066999999999,8
Unknown,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386724/unknown,1.5,Trad,5.9,1,50.0,38.2427,-80.8485,2
Unnamed SL  7,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386687/unnamed-sl-7,3.0,Trad,5.10a,1,60.0,38.2427,-80.8485,4
"The Good, the Bad, and The Boltless (High Plains Drifter variation)",Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107522463/the-good-the-bad-and-the-boltless-high-plains-drifter-variation,2.5,Trad,5.10a/b,1,75.0,38.2427,-80.8485,2
Unnamed 5.10a,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/108034563/unnamed-510a,3.0,Trad,5.10,1,90.0,38.2427,-80.8485,2
Indian Summer,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386696/indian-summer,3.6,Trad,5.10c,1,50.0,38.2427,-80.8485,12
As Surely as the Flower Blooms,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/109437933/as-surely-as-the-flower-blooms,2.0,Trad,5.11a R,1,45.0,38.2427,-80.8485,1
Mutiny,Pirate's Cove > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105918475/mutiny,3.7,Sport,5.11c,1,75.0,38.2427,-80.8485,43
Lickty Split,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386738/lickty-split,2.6,Sport,5.9,1,80.0,38.241609999999994,-80.8422,60
Bad Hair Day,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107792700/bad-hair-day,1.3,Trad,5.9,1,60.0,38.241609999999994,-80.8422,3
T. Love,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/113456186/t-love,2.0,Sport,5.10a,1,40.0,38.241609999999994,-80.8422,3
Make Way For Dyklings,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386748/make-way-for-dyklings,2.3,Sport,5.10a,1,80.0,38.241609999999994,-80.8422,45
Two Finger Limit,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386768/two-finger-limit,1.8,Sport,5.10a,1,80.0,38.241609999999994,-80.8422,10
Hundra Scundra,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107791064/hundra-scundra,1.5,Trad,5.10b,1,60.0,38.241609999999994,-80.8422,2
Useless Beauty,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107298505/useless-beauty,2.7,Sport,5.10,1,60.0,38.241609999999994,-80.8422,19
Tequila Maria,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106386782/tequila-maria,2.6,Sport,5.10c,1,80.0,38.241609999999994,-80.8422,14
No Refund,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107792710/no-refund,2.1,Sport,5.10d,1,60.0,38.241609999999994,-80.8422,7
Satisfaction Guaranteed,The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,Sport,5.11-,1,65.0,38.241609999999994,-80.8422,251
On Top of the Milky Whale,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/114375298/on-top-of-the-milky-whale,2.5,Sport,5.3,1,40.0,38.24137,-80.84379,6
Ragged Reaction,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107202336/ragged-reaction,2.4,Sport,5.9,1,30.0,38.24137,-80.84379,37
On the Porch,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107829742/on-the-porch,1.7,Sport,5.9,1,35.0,38.24137,-80.84379,19
Menace Alert,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105993751/menace-alert,2.8,Sport,5.9+,1,50.0,38.24137,-80.84379,167
Rocky Top Hilton,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107792673/rocky-top-hilton,1.8,Sport,5.10a,1,20.0,38.24137,-80.84379,8
Chewy,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105993756/chewy,2.7,Sport,5.10b,1,40.0,38.24137,-80.84379,138
Flight Path,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107094773/flight-path,3.0,Sport,5.10b,1,40.0,38.24137,-80.84379,96
Going Ballistic,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106603133/going-ballistic,2.9,Sport,5.10d,1,50.0,38.24137,-80.84379,83
Minimum Overdrive,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/107181873/minimum-overdrive,1.9,Sport,5.11a,1,60.0,38.24137,-80.84379,17
"No Way, Jose'",The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106271005/no-way-jose,2.8,Sport,5.11b,1,50.0,38.24137,-80.84379,21
Fifty Fifty,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106919137/fifty-fifty,1.6,Sport,5.11b,1,60.0,38.24137,-80.84379,11
Spice,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106461151/spice,2.2,Sport,5.11b/c,1,60.0,38.24137,-80.84379,18
Maximum Overdrive,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105994645/maximum-overdrive,3.4,Sport,5.11c,1,70.0,38.24137,-80.84379,66
Quarryman's Hands,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/112889261/quarrymans-hands,1.0,Sport,5.11c,1,50.0,38.24137,-80.84379,1
Under the Milky Way,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,Sport,5.11d,1,70.0,38.24137,-80.84379,154
Six Dollars,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106602644/six-dollars,3.4,Sport,5.11d,1,60.0,38.24137,-80.84379,22
Flirting with E,The Long Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106001347/flirting-with-e,3.5,Sport,5.11d,1,60.0,38.24137,-80.84379,29
"Showercam, and Your Wife's the Star",DC Memorial Boulder > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia,https://www.mountainproject.com/route/106092113/showercam-and-your-wifes-the-star,2.4,Sport,5.9,1,40.0,38.24156,-80.84428,19
